ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_VIP_negative_alpha7,Parent_VIP_positive_alpha7
1,420,3882.0,813.0,0,420,696,0
1,421,1119.5,814.0,0,421,701,0
1,422,964.0,816.25,0,422,725,0
1,423,1240.857142857143,816.2857142857143,0,423,708,0
1,424,2661.75,815.75,0,424,714,0
1,425,3624.6,816.2,0,425,749,0
1,426,3911.5,817.5,0,426,696,0
1,427,4069.4,817.8,0,427,746,0
1,428,3527.25,818.0,0,428,728,0
1,429,838.1428571428571,820.7142857142857,0,429,764,0
1,430,3439.2,820.6,0,430,0,0
1,431,3839.714285714286,821.0,0,431,703,0
1,432,1930.5,825.5,0,432,723,0
1,433,831.0,827.5,0,433,764,0
1,434,841.2,828.4,0,434,764,0
1,435,3879.0,828.5,0,435,696,0
1,436,1128.3333333333333,829.6666666666666,0,436,726,0
1,437,3881.0,829.5,0,437,696,0
1,438,3395.8,831.4,0,438,0,0
1,439,4035.6,832.8,0,439,754,0
1,440,2881.6666666666665,833.3333333333334,0,440,721,0
1,441,3151.285714285714,833.0,0,441,818,0
1,442,4043.0,834.0,0,442,754,0
1,443,1330.25,834.75,0,443,0,0
1,444,3581.0,836.0,0,444,749,0
1,445,3642.0,836.0,0,445,0,0
1,446,3899.6,836.2,0,446,696,0
1,447,2390.3333333333335,838.6666666666666,0,447,771,0
1,448,825.3333333333334,840.6666666666666,0,448,764,0
1,449,3605.5,840.5,0,449,749,0
1,450,1669.0,841.0,0,450,741,0
1,451,1449.5,842.5,0,451,762,0
1,452,837.6666666666666,843.3333333333334,0,452,764,0
1,453,853.5,844.0,0,453,764,0
1,454,1660.0,846.0,0,454,741,0
1,455,1539.8,848.4,0,455,792,0
1,456,1951.1666666666667,847.8333333333334,0,456,774,0
1,457,3011.6,847.8,0,457,802,0
1,458,820.1666666666666,848.8333333333334,0,458,764,0
1,459,1927.3333333333333,848.6666666666666,0,459,793,0
1,460,887.2857142857143,853.0,0,460,740,0
1,461,2015.6666666666667,853.3333333333334,0,461,769,0
1,462,1536.5,853.5,0,462,788,0
1,463,3735.5,857.5,0,463,0,0
1,464,2840.0,859.0,0,464,779,0
1,465,3770.0,860.2857142857143,0,465,0,0
1,466,3964.0,860.5,0,466,794,0
1,467,4065.8,860.6,0,467,775,0
1,468,1925.6666666666667,861.3333333333334,0,468,793,0
1,469,2934.0,860.7142857142857,0,469,782,0
1,470,1753.0,862.0,0,470,797,0
1,471,1530.25,864.0,0,471,788,0
1,472,1738.0,864.0,0,472,805,0
1,473,1747.0,863.75,0,473,805,0
1,474,3266.8333333333335,863.8333333333334,0,474,780,0
1,475,426.5,866.5,0,475,809,0
1,476,2472.5,866.5,0,476,807,0
1,477,1635.0,866.5,0,477,799,0
1,478,1760.0,867.5,0,478,797,0
1,479,839.0,869.0,0,479,764,0
1,480,2399.5,871.5,0,480,785,0
1,481,1724.0,871.75,0,481,803,0
1,482,2377.2,871.6,0,482,785,0
1,483,3732.4,872.2,0,483,0,0
