ImageNumber,ObjectNumber,Children_Cells_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,232,1,3209.6949152542375,626.7170795306389,0,232
1,233,1,2615.1795774647885,637.8028169014085,0,233
1,234,1,3094.769565217391,637.6782608695652,0,234
1,235,1,3535.3948919449904,632.6286836935167,0,235
1,236,1,3180.5864135864135,643.7162837162837,0,236
1,237,1,3277.9784037558684,639.218779342723,0,237
1,238,1,3783.645734597156,648.6244075829384,0,238
1,239,1,3018.6596066565808,642.3252647503782,0,239
1,240,1,3548.4315245478037,645.4625322997416,0,240
1,241,1,2646.1085858585857,649.1161616161617,0,241
1,242,1,3111.919694072658,653.7925430210325,0,242
1,243,1,3320.1830443159924,652.4971098265896,0,243
1,244,1,3891.168,649.9093333333333,0,244
1,245,1,3974.9833948339483,650.2933579335794,0,245
1,246,1,3224.9861591695503,651.4567474048442,0,246
1,247,1,3424.132558139535,653.6267441860465,0,247
1,248,1,3011.2226148409895,656.1060070671379,0,248
1,249,1,3158.87898089172,652.1847133757962,0,249
1,250,1,3988.4349775784754,656.9730941704036,0,250
1,251,1,3403.529411764706,657.5514705882352,0,251
1,252,1,2542.502659574468,659.8909574468086,0,252
1,253,1,3903.9660574412533,659.5117493472585,0,253
1,254,1,3136.241818181818,663.7545454545455,0,254
1,255,1,3337.2919540229886,662.2183908045977,0,255
1,256,1,2494.1014234875447,662.5729537366548,0,256
1,257,1,2714.8105263157895,667.9228070175438,0,257
1,258,1,3168.814126394052,666.8884758364312,0,258
1,259,1,3556.5882352941176,667.6549019607843,0,259
1,260,1,3066.507042253521,669.4859154929577,0,260
1,261,1,2508.492307692308,668.725,0,261
1,262,1,3981.3333333333335,669.6111111111111,0,262
1,263,1,3230.765749778172,674.4977817213842,0,263
1,264,1,2534.3185185185184,673.8629629629629,0,264
1,265,1,2585.1533477321814,672.7775377969763,0,265
1,266,1,2651.674740484429,671.3863898500576,0,266
1,267,1,2389.2085889570553,675.6073619631902,0,267
1,268,1,2550.0186915887853,674.8785046728972,0,268
1,269,1,3193.8193116634798,682.904397705545,0,269
1,270,1,3264.2880658436216,677.4266117969821,0,270
1,271,1,4926.105386416862,678.5316159250585,0,271
1,272,1,3341.978947368421,678.1438596491228,0,272
1,273,1,3820.214833759591,673.9641943734015,0,273
1,274,1,2607.7823741007196,676.43345323741,0,274
1,275,1,2718.9862068965517,685.0,0,275
1,276,1,3069.225490196078,687.3398692810457,0,276
1,277,1,3536.538888888889,688.5444444444445,0,277
1,278,1,3328.6588235294116,689.635294117647,0,278
1,279,1,3807.570909090909,685.4,0,279
1,280,1,3827.3429844097996,690.4632516703787,0,280
1,281,1,2385.7571059431525,687.452196382429,0,281
1,282,1,2366.0387596899227,688.8914728682171,0,282
1,283,1,3280.9115853658536,687.6981707317074,0,283
1,284,1,3034.9554655870447,695.1457489878543,0,284
1,285,1,3114.7643979057593,695.6282722513089,0,285
1,286,1,3459.1082474226805,699.6082474226804,0,286
1,287,1,3095.9325323475045,703.5609981515712,0,287
1,288,1,3716.7951807228915,707.0120481927711,0,288
